SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0014664,약국,인혜약국,"서울특별시 마포구 만리재로 15, 310,311호(공덕동,제일빌딩)",,126.95276829588279,37.544585471886755,14132317.521494118,4515289.279258646,
SFT0014665,약국,인화약국,서울특별시 마포구 토정로 219,,126.93546533829225,37.544941536279964,14130391.36506592,4515339.270470908,
SFT0014720,약국,일출약국,"서울특별시 마포구 독막로 85, 1층 (상수동)",,126.922761170836,37.5479338964558,14128977.143613739,4515759.405354562,
SFT0014721,약국,일층약국,"서울특별시 마포구 신촌로 266, 1층 (아현동)",,126.95512351352425,37.55712828178728,14132579.703122674,4517050.425686082,
SFT0014722,약국,자연약국,"서울특별시 마포구 마포대로 195, 4단지상가동 205호 (아현동, 마포래미안푸르지오)",,126.9543024402,37.5524319716,14132488.301658312,4516390.978133986,
SFT0014723,약국,자이약국,"서울특별시 마포구 대흥로 183, 신촌그랑자이 상가 1동 103호 (대흥동)",,126.945660437538,37.5558352535218,14131526.278322544,4516868.856803037,
SFT0014724,약국,정성약국,"서울특별시 마포구 만리재로 133, 3층(아현동,계룡빌딩)",,126.96206393360958,37.55172743200792,14133352.307152463,4516292.051518021,
SFT0014725,약국,정아약국,"서울특별시 마포구 독막로 43, 1층 (합정동)",,126.91817911683095,37.54815254608952,14128467.07169511,4515790.10497345,
SFT0014726,약국,정약국,"서울특별시 마포구 마포대로 68, 1층 112호 (도화동, 마포아크로타워)",,126.9489593879,37.5413330809,14131893.515796997,4514832.656702537,
SFT0014727,약국,제민약국,서울특별시 마포구 삼개로 24,,126.94729297217677,37.537984690492024,14131708.011247233,4514362.577024542,
SFT0014728,약국,제일약국,서울특별시 마포구 포은로 68  (망원동),,126.90628289564859,37.5533440713247,14127142.790410725,4516519.050308838,
SFT0014729,약국,종오약국,"서울특별시 마포구 만리재로 130, 1층 (공덕동)",,126.96202225962222,37.55097563120771,14133347.668025408,4516186.489838812,
SFT0014730,약국,준약국,서울특별시 마포구 월드컵북로 167,,126.9097970173701,37.56701666289852,14127533.980651349,4518439.070534665,
SFT0014731,약국,중원약국,"서울특별시 마포구 월드컵북로 190, (성산동)",,126.90789268825142,37.56837775274537,14127321.991703555,4518630.225496622,
SFT0014732,약국,즐거운약국,서울특별시 마포구 큰우물로 53,,126.94464663835504,37.54225415059482,14131413.422713732,4514961.969145079,
SFT0014733,약국,지선약국,"서울특별시 마포구 월드컵북로 185, (성산동)",,126.9078830368244,37.56794256441916,14127320.917311613,4518569.106147912,
