정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명
GGB102000060,용산구청.크라운호텔,37.52965,126.9911333,2.0221E+13,3154,11,서울특별시,경기도
GGB102000061,한강중학교,37.5255167,126.99225,2.0221E+13,3155,11,서울특별시,경기도
GGB102000062,한강중학교앞,37.52455,126.9924833,2.0221E+13,3156,11,서울특별시,경기도
GGB102000063,서빙고역1번출구,37.5200667,126.9899,2.0221E+13,3157,11,서울특별시,경기도
GGB102000068,순천향대학병원,37.5363167,127.0058167,2.0221E+13,3162,11,서울특별시,경기도
GGB102000069,순천향대학병원,37.5356667,127.0062667,2.0221E+13,3163,11,서울특별시,경기도
GGB102000070,순천향대학병원,37.5359,127.00545,2.0221E+13,3164,11,서울특별시,경기도
GGB102000071,순천향대학병원.한남오거리,37.5355333,127.0057167,2.0221E+13,3165,11,서울특별시,경기도
GGB102000072,한남5거리,37.5329,127.0083333,2.0221E+13,3166,11,서울특별시,경기도
GGB102000083,용마루고개(서울자동차고등학교,37.5406667,126.9584667,2.0221E+13,3177,11,서울특별시,경기도
GGB102000084,용마루고개.효창파크푸르지오아파트,37.5403333,126.95855,2.0221E+13,3178,11,서울특별시,경기도
GGB102000085,효창공원앞역,37.53925,126.9620333,2.0221E+13,3179,11,서울특별시,경기도
GGB102000086,효창공원앞역,37.5390167,126.9618,2.0221E+13,3180,11,서울특별시,경기도
GGB102000087,용산꿈나무종합타운.보건분소,37.5384667,126.965,2.0221E+13,3181,11,서울특별시,경기도
GGB102000088,용산꿈나무종합타운.보건분소,37.5383167,126.9645833,2.0221E+13,3182,11,서울특별시,경기도
GGB102000089,문배동등기소앞,37.5376167,126.9670833,2.0221E+13,3183,11,서울특별시,경기도
GGB102000090,전쟁기념관,37.5348,126.97685,2.0221E+13,3184,11,서울특별시,경기도
GGB102000091,전쟁기념관,37.5344667,126.9773333,2.0221E+13,3185,11,서울특별시,경기도
GGB102000092,녹사평역,37.5350833,126.9853333,2.0221E+13,3186,11,서울특별시,경기도
GGB102000093,녹사평역,37.5348,126.9853,2.0221E+13,3187,11,서울특별시,경기도
GGB102000107,후암시장,37.5497833,126.9775333,2.0221E+13,3201,11,서울특별시,경기도
GGB102000109,용산중고,37.5468333,126.9783333,2.0221E+13,3203,11,서울특별시,경기도
GGB102000110,후암동우리은행앞,37.5467167,126.9809667,2.0221E+13,3204,11,서울특별시,경기도
GGB102000111,용산중고,37.5457,126.9774333,2.0221E+13,3205,11,서울특별시,경기도
GGB102000114,남영우체국,37.5451667,126.9732333,2.0221E+13,3208,11,서울특별시,경기도
GGB102000135,숙대입구역,37.5443667,126.97085,2.0221E+13,3229,11,서울특별시,경기도
GGB102000136,남영역,37.54225,126.9709167,2.0221E+13,3230,11,서울특별시,경기도
GGB102000158,신용산.지하차도,37.5325333,126.9639333,2.0221E+13,3252,11,서울특별시,경기도
GGB102000161,용산역,37.52895,126.96575,2.0221E+13,3255,11,서울특별시,경기도
